trade_date,Closed PnL,classification,Execution Price,Side,leverage
2024-03-12,0.0,Extreme Greed,235.51,Buy,0.9999994837563283
2024-03-12,0.0,Extreme Greed,235.53,Buy,0.9999954384572443
2024-03-12,0.0,Extreme Greed,235.54,Buy,1.0000000000000002
2024-03-12,0.0,Extreme Greed,235.55,Buy,1.000000645195007
2024-03-12,0.0,Extreme Greed,235.57,Buy,0.9999996129158621
2024-03-12,0.0,Extreme Greed,235.59,Buy,1.0000000255548607
2024-03-12,0.0,Extreme Greed,235.59,Buy,0.9999992888780602
2024-03-12,0.0,Extreme Greed,235.65,Buy,1.0000001833872767
2024-03-12,124.826134,Extreme Greed,9.0756,Sell,1.0
2024-03-12,266.532371,Extreme Greed,9.0755,Sell,0.9999988286786545
2024-03-12,124.816134,Extreme Greed,9.0755,Sell,1.0
2024-03-12,33.013868,Extreme Greed,9.0755,Sell,1.0000126017001465
2024-03-12,179.80434,Extreme Greed,9.0752,Sell,1.0000033892976112
2024-03-12,37.43584,Extreme Greed,9.0752,Sell,1.0000146920545367
2024-03-12,13.442265,Extreme Greed,9.0674,Sell,0.9999937328706946
2024-03-12,3.716884,Extreme Greed,9.0663,Sell,1.0000404428120253
2024-03-12,178.493121,Extreme Greed,9.0661,Sell,0.9999966708369847
2024-03-12,47.804608,Extreme Greed,9.0658,Sell,1.000000342916046
2024-03-12,101.447367,Extreme Greed,9.0642,Sell,1.0000058054005734
2024-03-12,120.841353,Extreme Greed,9.0642,Sell,0.9999973576410484
2024-03-12,120.928211,Extreme Greed,9.0613,Sell,1.0000029279035287
2024-03-12,101.193105,Extreme Greed,9.0611,Sell,0.9999980866302304
2024-03-12,100.930641,Extreme Greed,9.0579,Sell,1.0000014025567165
2024-03-12,177.196311,Extreme Greed,9.0571,Sell,1.0000018857695094
2024-03-12,100.668177,Extreme Greed,9.0547,Sell,1.0000047208269505
2024-03-12,36.81784,Extreme Greed,9.0546,Sell,1.0000073627401171
2024-03-12,100.413915,Extreme Greed,9.0516,Sell,0.9999969935840173
2024-03-12,122.416134,Extreme Greed,9.0515,Sell,0.9999999999999999
2024-03-12,61.208067,Extreme Greed,9.0515,Sell,1.0000110478926143
2024-03-12,4.780606,Extreme Greed,9.05,Sell,1.0001271707337749
2024-03-12,12.226614,Extreme Greed,9.05,Sell,1.0
2024-03-12,702.455615,Extreme Greed,9.05,Sell,1.0000006731421014
2024-03-12,110.026636,Extreme Greed,9.0485,Sell,1.0000001839881605
2024-03-12,100.151451,Extreme Greed,9.0484,Sell,1.0000003126053663
2024-03-12,175.885092,Extreme Greed,9.048,Sell,1.0000028226783058
2024-03-12,243.812267,Extreme Greed,9.0464,Sell,1.0
2024-03-12,99.897189,Extreme Greed,9.0453,Sell,1.0000060574568301
2024-03-12,8.631801,Extreme Greed,9.0448,Sell,1.0000369263596072
2024-03-12,60.788067,Extreme Greed,9.0431,Sell,1.0000110581548363
2024-03-12,99.634725,Extreme Greed,9.0421,Sell,0.9999958982410064
2024-03-12,325.738252,Extreme Greed,9.0421,Sell,1.000000365002773
2024-03-12,36.51907,Extreme Greed,9.041,Sell,0.9999864360022466
2024-03-12,1822.714868,Extreme Greed,9.04,Sell,0.9999997939320769
2024-03-12,67.933288,Extreme Greed,9.04,Sell,0.9999984202860547
2024-03-12,81.24831,Extreme Greed,9.04,Sell,1.0
2024-03-12,11.971214,Extreme Greed,9.039,Sell,1.0000524044928119
2024-03-12,0.0,Extreme Greed,230.51,Buy,1.0000000724241502
2024-03-12,0.0,Extreme Greed,230.52,Buy,0.9999962071970333
2024-03-12,0.0,Extreme Greed,230.53,Buy,1.0000002172536002
2024-03-12,0.0,Extreme Greed,230.55,Buy,1.0000003620579228
2024-03-12,0.0,Extreme Greed,230.57,Buy,1.0000005068371243
2024-03-12,0.0,Extreme Greed,230.58,Buy,1.0000011377224387
2024-03-12,0.0,Extreme Greed,230.58,Buy,1.00000072607295
2024-03-12,0.0,Extreme Greed,230.61,Buy,0.9999986653091439
